Protein	Organism	control_1 Intensity_1	control_1 Intensity_2
sp|A0A024R1R8|TMA7B_HUMAN	Homo sapiens	14281.382	28497.58
sp|A0A024RBG1|NUD4B_HUMAN	Homo sapiens	68646.805	373655.66
sp|A0A0B4J2D5|GAL3B_HUMAN	Homo sapiens	1057358	799021.75
sp|A0A0B4J2F0|PIOS1_HUMAN	Homo sapiens	70408.945	47889.316
sp|A0A804HLA8|GBG5B_HUMAN	Homo sapiens	157731.88	96504.33
sp|A0AV96|RBM47_HUMAN	Homo sapiens	5946.4683	3489.827
sp|A0AVT1|UBA6_HUMAN	Homo sapiens	4495711	3251013.8
sp|A0FGR8|ESYT2_HUMAN	Homo sapiens	0	30722.447
sp|A0MZ66|SHOT1_HUMAN	Homo sapiens	958972.5	675913.75
sp|A1KXE4|F168B_HUMAN	Homo sapiens	84218.516	72427.47
sp|A2RRP1|NBAS_HUMAN	Homo sapiens	463840.97	341712.2
sp|A3KN83|SBNO1_HUMAN	Homo sapiens	554878.94	427915.9
sp|A4D126|ISPD_HUMAN	Homo sapiens	23466.852	17261.834
sp|A4D1E9|GTPBA_HUMAN	Homo sapiens	425708.66	309411.25
sp|A4D1P6|WDR91_HUMAN	Homo sapiens	19612.76	13552.808
sp|A5A3E0|POTEF_HUMAN	Homo sapiens	27205.338	6742398.5
sp|A5D8V6|VP37C_HUMAN	Homo sapiens	37404.766	33303.63
sp|A5PLN9|TPC13_HUMAN	Homo sapiens	39172.125	11586.624
sp|A5YKK6|CNOT1_HUMAN	Homo sapiens	3780381.2	2805558.5
sp|A6NCE7|MP3B2_HUMAN	Homo sapiens	185064.16	148601.06
sp|A6NDG6|PGP_HUMAN	Homo sapiens	853774.2	728931.44
sp|A6NDU8|RIMC1_HUMAN	Homo sapiens	205741.55	160681.33
sp|A6NED2|RCCD1_HUMAN	Homo sapiens	55976.145	22421.31
sp|A6NGK3|GAG10_HUMAN	Homo sapiens	45388.47	0
sp|A6NHL2|TBAL3_HUMAN	Homo sapiens	1887203.9	1489229.2
sp|A6NHQ2|FBLL1_HUMAN	Homo sapiens	29066.793	25682.467
sp|A6NHR9|SMHD1_HUMAN	Homo sapiens	3355217.8	2583413.2
sp|A6NIH7|U119B_HUMAN	Homo sapiens	70599.68	0
sp|A6NJ78|MET15_HUMAN	Homo sapiens	41558.66	41835.145
sp|A8CG34|P121C_HUMAN	Homo sapiens	184774.58	128908.375
sp|A8MPS7|YDJC_HUMAN	Homo sapiens	276567.6	217771.23
sp|B2RUZ4|SMIM1_HUMAN	Homo sapiens	25870.676	15703.506
sp|C9J7I0|UMAD1_HUMAN	Homo sapiens	59113.836	29197.875
sp|C9JLW8|MCRI1_HUMAN	Homo sapiens	242411.77	230299.45
sp|E9PAV3|NACAM_HUMAN	Homo sapiens	9024406	7524209.5
sp|E9PRG8|CK098_HUMAN	Homo sapiens	425236.38	393901.34
sp|L0R6Q1|S35U4_HUMAN	Homo sapiens	101966.34	82277.875
sp|L0R819|ASURF_HUMAN	Homo sapiens	65331.21	127478.23
sp|O00115|DNS2A_HUMAN	Homo sapiens	160526.64	71151.5
sp|O00116|ADAS_HUMAN	Homo sapiens	1641711.2	1313516.5
sp|O00148|DX39A_HUMAN	Homo sapiens	2533044	1770983
sp|O00151|PDLI1_HUMAN	Homo sapiens	4692843.5	3758909.2
sp|O00154|BACH_HUMAN	Homo sapiens	2310141	1897553
sp|O00159|MYO1C_HUMAN	Homo sapiens	54292.73	39849.336
sp|O00161|SNP23_HUMAN	Homo sapiens	995280.3	885190
sp|O00165|HAX1_HUMAN	Homo sapiens	258127.2	264344.22
sp|O00170|AIP_HUMAN	Homo sapiens	1013819	862778.9
sp|O00178|GTPB1_HUMAN	Homo sapiens	305614.56	219221.9
sp|O00186|STXB3_HUMAN	Homo sapiens	641017.94	474135.7
sp|O00193|SMAP_HUMAN	Homo sapiens	1049769.6	805250.94
sp|O00203|AP3B1_HUMAN	Homo sapiens	634089.6	525058.2
sp|O00217|NDUS8_HUMAN	Homo sapiens	694106.9	481293.1
sp|O00221|IKBE_HUMAN	Homo sapiens	27354.691	0
sp|O00231|PSD11_HUMAN	Homo sapiens	6348016.5	4853956
sp|O00232|PSD12_HUMAN	Homo sapiens	3143025	2468385
sp|O00233|PSMD9_HUMAN	Homo sapiens	954533.8	742093.06
sp|O00244|ATOX1_HUMAN	Homo sapiens	577351.9	497560.7
sp|O00255|MEN1_HUMAN	Homo sapiens	120810.67	102255.875
sp|O00264|PGRC1_HUMAN	Homo sapiens	0	62798.906
sp|O00267|SPT5H_HUMAN	Homo sapiens	3245962.5	2384991.5
sp|O00268|TAF4_HUMAN	Homo sapiens	71139.27	21432.096
sp|O00273|DFFA_HUMAN	Homo sapiens	1193719	673939.94
sp|O00287|RFXAP_HUMAN	Homo sapiens	24778.004	20031.184
sp|O00291|HIP1_HUMAN	Homo sapiens	54548.426	53630.5
sp|O00299|CLIC1_HUMAN	Homo sapiens	32626226	25335776
sp|O00303|EIF3F_HUMAN	Homo sapiens	3243954.5	2804390
sp|O00308|WWP2_HUMAN	Homo sapiens	67396.57	42079.492
sp|O00311|CDC7_HUMAN	Homo sapiens	30461.8	41256.54
sp|O00330|ODPX_HUMAN	Homo sapiens	171671.22	143523.53
