Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_1 Spectral Count	control_2 Spectral Count	control_3 Spectral Count	control_4 Spectral Count	control_5 Spectral Count	control_6 Spectral Count	control_1 Unique Spectral Count	control_2 Unique Spectral Count	control_3 Unique Spectral Count	control_4 Unique Spectral Count	control_5 Unique Spectral Count	control_6 Unique Spectral Count	control_1 Total Spectral Count	control_2 Total Spectral Count	control_3 Total Spectral Count	control_4 Total Spectral Count	control_5 Total Spectral Count	control_6 Total Spectral Count	control_1 Intensity	control_2 Intensity	control_3 Intensity	control_4 Intensity	control_5 Intensity	control_6 Intensity	control_1 MaxLFQ Intensity	control_2 MaxLFQ Intensity	control_3 MaxLFQ Intensity	control_4 MaxLFQ Intensity	control_5 MaxLFQ Intensity	control_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A024R1R8|TMA7B_HUMAN	A0A024R1R8	TMA7B_HUMAN	TMA7B	64	Homo sapiens	3:Protein inferred from homology	Translation machinery-associated protein 7B	0.9241	0.9984	1	9	0	9	1	1	2	3	1	1	0	0	0	0	0	0	1	1	2	3	1	1	14294.975	18396.494	28885.049	38446.406	23948.275	39692.86	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9Y2S6|TMA7_HUMAN
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1.0	0.999	6	5	5	50	1	0	1	1	1	1	1	0	1	1	1	1	11	9	9	8	8	5	68624.99	76215.234	66450.19	75601.12	81341.45	95916.734	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	164	Homo sapiens	2:Experimental evidence at transcript level	Peptidyl-prolyl cis-trans isomerase A-like 4C	0.9998	0.999	3	1	0	79	1	0	0	0	0	0	0	0	0	0	0	0	16	13	10	12	15	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	8	90	0	90	15	17	14	12	17	15	0	0	0	0	0	0	15	17	14	12	17	15	1057737.0	1066155.5	946114.7	1048801.9	951614.7	902440.06	269376.88	272491.12	251103.44	239309.42	239795.42	226542.77	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens	1:Experimental evidence at protein level	Protein PIGBOS1	0.9504	0.999	1	9	9	9	2	1	3	1	1	1	2	1	3	1	1	1	2	1	3	1	1	1	72102.78	71402.234	64783.457	63215.363	58872.37	63478.332	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A804HLA8|GBG5B_HUMAN	A0A804HLA8	GBG5B_HUMAN	GNG5B	68	Homo sapiens	3:Protein inferred from homology	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5B	1.0	0.999	1	18	0	18	3	4	2	2	3	4	0	0	0	0	0	0	3	4	2	2	3	4	157780.12	172703.92	159585.22	126664.83	138186.81	113667.41	120024.07	122170.98	108166.23	89844.47	99010.945	83133.195	sp|P63218|GBG5_HUMAN
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 47	0.9514	0.999	1	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5952.1284	0.0	0.0	5113.8755	0.0	7498.1846	0.0	0.0	0.0	0.0	0.0	0.0	tr|D6R9D6|D6R9D6_HUMAN, tr|D6R9M7|D6R9M7_HUMAN, tr|D6RA49|D6RA49_HUMAN, tr|D6RBP6|D6RBP6_HUMAN, tr|D6RBS9|D6RBS9_HUMAN, tr|D6RCT1|D6RCT1_HUMAN, tr|D6REZ6|D6REZ6_HUMAN, tr|D6RFL5|D6RFL5_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	44	359	224	359	61	68	61	53	62	54	38	44	39	32	37	34	61	68	61	53	62	54	4564968.0	4817932.0	4323017.0	4287642.0	4378329.0	4317570.0	337438.72	342567.34	336681.3	332344.28	337164.5	327183.94	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	0.9514	0.999	1	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0.0	30946.488	28634.12	41604.3	49612.67	31853.936	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A499FIX8|A0A499FIX8_HUMAN, tr|H7BXI1|H7BXI1_HUMAN
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9999	0.9989	2	4	0	4	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	6967.064	0.0	0.0	0.0	4358.863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|J3KR33|J3KR33_HUMAN
sp|A0JNW5|BLT3B_HUMAN	A0JNW5	BLT3B_HUMAN	BLTP3B	1464	Homo sapiens	1:Experimental evidence at protein level	Bridge-like lipid transfer protein family member 3B	0.9514	0.999	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	9430.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	20	126	126	126	23	23	22	20	21	17	23	23	22	20	21	17	23	23	22	20	21	17	1095086.4	1174915.0	1148989.9	1083610.5	929664.2	1087950.4	117810.03	115653.44	118388.56	127100.02	123512.14	126115.234	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 223	0.7089	0.992	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1KXE4|F168B_HUMAN	A1KXE4	F168B_HUMAN	FAM168B	195	Homo sapiens	1:Experimental evidence at protein level	Myelin-associated neurite-outgrowth inhibitor	0.9514	0.999	1	9	9	9	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	84178.53	90480.22	85684.65	94121.914	85118.68	85677.64	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1.0	0.999	26	96	0	96	19	15	16	16	14	16	0	0	0	0	0	0	19	15	16	16	14	16	538245.5	560893.1	576481.06	618460.25	544451.94	557246.44	62207.383	65136.87	64830.043	66840.22	66915.68	68078.43	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	19	80	57	80	14	15	10	15	15	11	10	11	6	11	11	8	14	15	10	15	15	11	641795.1	693071.9	660483.25	614819.7	547968.3	535717.9	100284.625	101412.73	98007.21	103461.22	102726.26	102482.375	
sp|A4D126|ISPD_HUMAN	A4D126	ISPD_HUMAN	CRPPA	451	Homo sapiens	1:Experimental evidence at protein level	D-ribitol-5-phosphate cytidylyltransferase	0.9998	0.999	2	5	4	5	1	1	2	0	1	0	1	1	1	0	1	0	1	1	2	0	1	0	23489.19	27087.28	22971.363	25294.912	22354.48	0.0	0.0	22938.99	17739.463	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.999	10	57	7	57	11	9	14	5	9	9	2	1	2	1	0	1	11	9	14	5	9	9	430769.97	445242.75	494537.75	263501.4	400270.22	398721.25	145284.67	144098.44	153847.11	149751.78	144708.58	143938.0	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens	1:Experimental evidence at protein level	WD repeat-containing protein 91	1.0	0.999	3	4	0	4	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	38147.438	66666.984	67524.72	40839.18	76265.35	43602.5	23149.176	23472.816	23605.32	24783.893	27035.852	26464.717	tr|A0A804HHS8|A0A804HHS8_HUMAN, tr|A0A804HKV2|A0A804HKV2_HUMAN, tr|C9J1X0|C9J1X0_HUMAN
sp|A4FU69|EFCB5_HUMAN	A4FU69	EFCB5_HUMAN	EFCAB5	1503	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 5	0.9346	0.9986	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	224929.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|H0Y843|H0Y843_HUMAN
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	1:Experimental evidence at protein level	POTE ankyrin domain family member F	1.0	0.999	10	142	90	366	25	22	22	24	27	22	15	16	13	15	17	14	61	61	61	61	62	60	7493840.0	7127067.5	8423550.0	8547369.0	7915238.0	8555824.0	4481386.0	3999565.0	4293172.5	5994006.0	5828728.5	5661248.0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	0.9512	0.999	1	4	0	4	1	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	37479.957	34997.766	44488.586	44440.44	55325.53	73386.42	0.0	0.0	0.0	0.0	0.0	0.0	tr|F5H4Q5|F5H4Q5_HUMAN
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 13	1.0	0.999	2	4	2	4	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1	39209.406	15817.001	36365.28	16978.65	25083.99	18558.086	25887.596	0.0	24020.768	0.0	13470.451	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	57	412	260	412	78	69	65	67	69	64	50	44	41	41	43	41	78	69	65	67	69	64	3932268.5	3966086.0	3345500.5	3941201.5	3632099.8	3720541.0	394704.3	386723.53	394505.22	413765.25	400734.97	410436.78	
sp|A5Z2X5|YP010_YEAST	A5Z2X5	YP010_YEAST	YPR010C-A	72	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UPF0495 protein YPR010C-A	0.9514	0.999	1	7	7	7	2	2	2	0	0	1	2	2	2	0	0	1	2	2	2	0	0	1	57750.79	57969.707	62621.324	41581.668	33817.688	43421.42	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NC57|ANR62_HUMAN	A6NC57	ANR62_HUMAN	ANKRD62	917	Homo sapiens	2:Experimental evidence at transcript level	Ankyrin repeat domain-containing protein 62	0.8209	0.9957	1	8	8	8	1	0	1	2	2	2	1	0	1	2	2	2	1	0	1	2	2	2	25766.193	26449.492	24830.936	32503.133	27110.691	31467.01	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.0	0.999	2	23	0	23	4	5	3	3	4	4	0	0	0	0	0	0	4	5	3	3	4	4	185018.77	175431.27	181174.47	195584.89	187093.97	188003.6	92959.7	90422.1	91143.46	98109.516	91559.57	92349.19	sp|Q9GZQ8|MLP3B_HUMAN, tr|H3BTL1|H3BTL1_HUMAN
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	9	76	65	76	14	11	15	12	12	12	12	10	14	10	10	9	14	11	15	12	12	12	856324.56	875430.06	890949.5	957299.1	863265.4	914982.2	190351.6	201382.83	203602.69	214724.11	193528.4	209342.19	
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens	1:Experimental evidence at protein level	RAB7A-interacting MON1-CCZ1 complex subunit 1	1.0	0.999	6	29	29	29	6	5	6	5	3	4	6	5	6	5	3	4	6	5	6	5	3	4	247507.05	247387.12	240568.88	235105.8	224101.89	190218.38	80961.68	78458.805	82033.44	73624.16	74431.51	69460.22	
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens	1:Experimental evidence at protein level	RCC1 domain-containing protein 1	1.0	0.999	3	18	12	18	3	5	3	3	1	3	2	2	2	2	1	3	3	5	3	3	1	3	54567.96	47066.305	54070.242	53785.195	46679.6	56238.133	25240.13	26662.432	25123.393	30436.744	26330.412	31808.992	
